headword	gloss	root_form	root_language	justification
αἵμα	blood	αἷμα / haĩma	Greek: Ancient	No clear etymology outside of Greek ([Chantraine 1968–1980](src-270):34, [Beekes 2010](src-66):38-39}). It is likely that Ancient Greek αἷμα was a lexical replacement for the inherited word for 'blood', ἔαρ < *h₁esh₂-r̥- (cf. [cognate set 859](cog-859)), which was only retained as a poetic word in the language of Homeric epic and other archaic poetry.
αἵρέω	take with the hand, take away	*ser-	Proto-Indo-European	Root etymology for the Hellenic lexemes in this class follows [LIV²](src-141) 535 as though from PIE *sr̥-i̯é- to PIE 3. *ser- 'to take, seize, grasp', but cf. [Frisk 1960-1972](src-174) I:43-44, [Chantraine 1968–1980](src-270):38, [Beekes 2010](src-66):42 (without reference to new literature in [LIV²](src-141)).
βαρύς	heavy	*gʷerh₂-	Proto-Indo-European	Tocharian, Hellenic, Indo-Iranic, Baltic, Germanic, and Italic reflecting different derivatives from PIE *gʷerh₂- (cf. [Hilmarsson 1996](src-149):173-174, [Adams 2013](src-345):230-231, [Beekes 2010](src-66):202-203, [EWAia](src-172) I:490-491, [Turner 1962–1966](src-442):91 no.1962, [Karulis 1992](src-534) I:321, [Kroonen 2013](src-165):312, [de Vaan 2008](src-54):272, [Meyer-Lübke 1935](src-444):328 no. 3855).
βραχύς	short	*mreg̑ʰ-	Proto-Indo-European	Hellenic, Iranic, and Italic lexemes from PIE *mr̥g̑ʰ-ú- 'short' ([NIL](src-274) 497-499, cf. [Beekes 2010](src-66):236, [EWAia](src-172) II:364-365, [de Vaan 2008](src-54):75).
γαστήρ	paunch, belly	γαστήρ / gastḗr	Greek: Ancient	Etymology outside of Greek difficult; probably to IE *gres- (or *gras-) 'devour' (cf. [LIV²](src-141) 192, [IEW](src-49) 404) with dissimilation of *-r- in the root from the suffix *-tēr- (so [Chantraine 1968–1980](src-270):211-212); but cf. the objections of [Beekes 2010](src-66):262.
γελάω	I laugh	*g̑elh₂-	Proto-Indo-European	A unique Greco-Armenian isogloss ([Chantraine 1968–1980](src-270):214, [Beekes 2010](src-66):264-265, [Martirosyan 2010](src-79):336-337, 340-341, [LIV²](src-141) 162; cf. [Clackson 1994](src-319):126-131 for extensive discussion of the various reflexes and derivatives from this root).
γλυκύς	sweet to the taste or smell	?*dl(e)u̯ku-	Proto-Greek	Very similar in form and meaning to Latin dulcis 'sweet', but a common proto-form cannot be reconstructed. Perhaps the Italic and Greek lexemes are independent borrowings from a third source (cf. [Chantraine 1968–1980](src-270):228-229, [Beekes 2010](src-66):227-228). Cf. further discussion in [cognate set 7772](cog-7772).
γλῶττα	tongue; language	*glōkʰ-	Proto-Greek	Within Hellenic the root of the noun, *γλῶχ- / *glōkʰ 'point', is attested via γλωχίς 'end of a yoke strap, barb of an arrow, etc.', but there are no known cognates outside of Greek ([Chantraine 1968–1980](src-270):229-230, [Beekes 2010](src-66):278).
γυνή	woman; wife	*gʷen-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Balto-Slavic, Germanic, and Celtic lexemes from PIE *gʷen- 'woman' ([NIL](src-274) 177-185, cf. [Kloekhorst 2008](src-80):501-505, [Hilmarsson 1996](src-149):157-159, [Adams 2013](src-345):242, [Beekes 2010](src-66):291-292, [Martirosyan 2010](src-79)363-364, [EWAia](src-172) I:568-569, [Derksen 2015](src-353):558, [Derksen 2008](src-81):558, [Kroonen 2013](src-165):317, [Matasović 2009](src-50):61).
γόνυ	knee	*g̑enu-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Albanian, Indo-Iranic, Germanic, Italic, and Celtic lexemes derived from PIE *g̑enu, *g̑neu- ([IEW](src-49) 381-382, cf. [Kloekhorst 2008](src-80):467-468, [Hilmarsson 1996](src-149):129-130, [Adams 2013](src-345):205-206, [Beekes 2010](src-66):283, [Martirosyan 2010](src-79):343-344, [Demiraj 1997](src-369):190-191, [Orel 1998](src-105):137, [EWAia](src-172): I:584-585, [Kroonen 2013](src-165):296, [de Vaan 2008](src-54):259, [Matasović 2009](src-50):162). NB: traditionally considered a separate lexical root from PIE 2. *g̑enu- 'jaw, chin' (cf. [IEW](src-49) 380-382).
